2019-10-25T16:08:05+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:08:06+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:08:08+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:08:14+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:08:15+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:09:15+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:09:38+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:08+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:15+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:16+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:16+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:19+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:29+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:10:45+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:11:16+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:11:47+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:11:47+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:02+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:03+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:08+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:15+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:19+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:19+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:37+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:12:41+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

2019-10-25T16:14:08+00:00 CRITICAL syntax error, unexpected 'wp_enqueue_style' (T_STRING), expecting ',' or ')' in C:\xampp\htdocs\fatima\wordpress\wp-content\themes\Divi-Child\functions.php on line 21

